# Zini     MH        logAge    Mini           int_IMF        Mass    logL     logTe    logg    label   McoreTP   C_O     period0   period1   period2   period3   period4   pmode   Mloss       tau1m   X        Y        Xc         Xn         Xo         Cexcess   Z         mbolmag   Gmag     G_BPmag   G_RPmag  
  0.0152   0.01508   7.69897   0.0900000036   1.0816895962   0.09    -2.54    3.404    4.5     0       0.0       0.545   0.0       0.0       0.0       0.0       0.0       -1      -6.88E-16   0.0     0.7092   0.2755   0.002746   7.408E-4   0.006719   -1.0      0.01527   11.12     13.168   15.884    11.697   
  0.0152   0.01508   7.69897   0.0985084474   1.1585247517   0.098   -2.475   3.4117   4.506   0       0.0       0.545   0.0       0.0       0.0       0.0       0.0       -1      -7.58E-16   0.0     0.7092   0.2755   0.002746   7.408E-4   0.006719   -1.0      0.01527   10.959    13.007   15.724    11.536   
  0.0152   0.01508   7.69897   0.1000000015   1.1711064577   0.1     -2.465   3.4131   4.507   0       0.0       0.545   0.0       0.0       0.0       0.0       0.0       -1      -7.7E-16    0.0     0.7092   0.2755   0.002746   7.408E-4   0.006719   -1.0      0.01527   10.932    12.981   15.698    11.509   
  0.0152   0.01508   7.69897   0.1017667875   1.185697794    0.102   -2.453   3.4145   4.508   0       0.0       0.545   0.0       0.0       0.0       0.0       0.0       -1      -7.83E-16   0.0     0.7092   0.2755   0.002746   7.408E-4   0.006719   -1.0      0.01527   10.903    12.951   15.669    11.48    
  0.0152   0.01508   7.69897   0.1145201921   1.2820893526   0.114   -2.37    3.4242   4.515   0       0.0       0.545   0.0       0.0       0.0       0.0       0.0       -1      -8.86E-16   0.0     0.7092   0.2755   0.002746   7.408E-4   0.006719   -1.0      0.01527   10.695    12.643   15.239    11.195   
  0.0152   0.01508   7.69897   0.1200000122   1.3193155527   0.12    -2.336   3.4284   4.519   0       0.0       0.545   0.0       0.0       0.0       0.0       0.0       -1      -9.32E-16   0.0     0.7092   0.2755   0.002746   7.408E-4   0.006719   -1.0      0.01527   10.61     12.498   15.018    11.063   
  0.0152   0.01508   7.69897   0.1277931929   1.3686115742   0.128   -2.293   3.4333   4.523   0       0.0       0.545   0.0       0.0       0.0       0.0       0.0       -1      -9.91E-16   0.0     0.7092   0.2755   0.002746   7.408E-4   0.006719   -1.0      0.01527   10.504    12.323   14.762    10.904   
  0.0152   0.01508   7.69897   0.1400000006   1.4384527206   0.14    -2.23    3.4405   4.528   0       0.0       0.545   0.0       0.0       0.0       0.0       0.0       -1      -1.09E-15   0.0     0.7092   0.2755   0.002746   7.408E-4   0.006719   -1.0      0.01527   10.345    12.072   14.401    10.674   
  0.0152   0.01508   7.69897   0.1599999964   1.5372931957   0.16    -2.142   3.4506   4.538   0       0.0       0.545   0.0       0.0       0.0       0.0       0.0       -1      -1.24E-15   0.0     0.7092   0.2755   0.002746   7.408E-4   0.006719   -1.0      0.01527   10.124    11.723   13.904    10.357   
  0.0152   0.01508   7.69897   0.200000003    1.6938791275   0.2     -1.993   3.4667   4.55    0       0.0       0.545   0.0       0.0       0.0       0.0       0.0       -1      -1.54E-15   0.0     0.7092   0.2755   0.002746   7.408E-4   0.006719   -1.0      0.01527   9.752     11.159   13.107    9.844    
  0.0152   0.01508   7.69897   0.2423202693   1.8204339743   0.242   -1.869   3.4795   4.561   0       0.0       0.545   0.0       0.0       0.0       0.0       0.0       -1      -1.83E-15   0.0     0.7092   0.2755   0.002746   7.408E-4   0.006719   -1.0      0.01527   9.442     10.71    12.493    9.436    
  0.0152   0.01508   7.69897   0.25           1.8403258324   0.25    -1.848   3.4815   4.562   0       0.0       0.545   0.0       0.0       0.0       0.0       0.0       -1      -1.89E-15   0.0     0.7092   0.2755   0.002746   7.408E-4   0.006719   -1.0      0.01527   9.391     10.636   12.393    9.37     
  0.0152   0.01508   7.69897   0.2867085934   1.9255026579   0.287   -1.76    3.4903   4.569   0       0.0       0.545   0.0       0.0       0.0       0.0       0.0       -1      -2.14E-15   0.0     0.7092   0.2755   0.002746   7.408E-4   0.006719   -1.0      0.01527   9.171     10.321   11.964    9.086    
